City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,jiuquan,39.7432,98.5174,76.55,36,100,22.7,CN,1723085028
143,namie,37.4833,141.0,86.99,75,72,1.01,JP,1723085029
144,champerico,14.3,-91.9167,83.59,79,100,3.91,GT,1723084934
145,shuangjiang,26.1547,109.7138,88.3,52,16,10.36,CN,1723085031
146,kroya,-7.6331,109.2461,86.43,73,80,13.33,ID,1723085032
147,vilyuchinsk,52.9306,158.4028,82.67,78,28,11.74,RU,1723085034
148,reidsville,36.3549,-79.6645,76.17,94,100,5.75,US,1723085035
149,digne-les-bains,44.0833,6.25,66.29,66,19,5.06,FR,1723085036
150,susuman,62.7833,148.1667,51.26,85,100,1.48,RU,1723084914
151,ust-nera,64.5667,143.2,57.09,77,98,1.59,RU,1723084828
152,diapaga,12.0708,1.7889,73.29,87,100,7.07,BF,1723085039
153,amilly,47.9728,2.7719,60.06,74,100,3.24,FR,1723085041
154,monte cristo,-31.3431,-63.9444,46.76,52,18,13.35,AR,1723085042
155,caconda,-13.7333,15.0667,55.92,54,6,1.32,AO,1723085043
156,birao,10.2849,22.7882,71.94,95,100,4.29,CF,1723085044
157,vinnytsia,49.2328,28.481,67.93,63,100,4.18,UA,1723085045
158,muroto-misakicho,33.2833,134.15,83.98,72,1,5.84,JP,1723085047
159,krasnyy chikoy,50.3643,108.7512,70.25,65,98,2.68,RU,1723085048
160,sim,54.993,57.6982,61.41,95,28,3.44,RU,1723085049
161,punch,33.7679,74.0897,77.81,81,2,4.29,IN,1723085050
162,acarau,-2.8856,-40.12,77.9,85,16,16.67,BR,1723085051
163,puerto santa,-8.9906,-78.6456,61.75,88,86,7.94,PE,1723085052
164,bethanie,-26.4833,17.15,49.05,29,9,5.59,NA,1723085054
165,ha'il,27.5219,41.6907,77.02,20,0,4.61,SA,1723085055
166,preobrazheniye,42.9019,133.9064,80.04,72,99,5.28,RU,1723085056
167,colon,9.3592,-79.9014,81.09,90,100,4.0,PA,1723085057
168,melekeok village,7.4957,134.6367,82.96,94,100,4.61,PW,1723085058
169,kapoeta,4.7717,33.5903,73.72,74,97,6.46,SS,1723085059
170,tchintabaraden,15.8969,5.7985,81.43,58,100,9.89,NE,1723085062
171,ostersund,63.1792,14.6357,61.25,96,75,11.5,SE,1723085063
172,ancud,-41.8697,-73.8203,39.92,89,4,3.98,CL,1723085065
173,cabo san lucas,22.8909,-109.9124,87.1,73,0,18.41,MX,1723084807
174,papatowai,-46.5619,169.4708,47.68,76,61,9.53,NZ,1723085067
175,napoleon,41.3923,-84.1252,70.03,77,0,7.76,US,1723084967
176,veselynove,47.3567,31.2349,67.51,58,38,3.11,UA,1723085069
177,rantauprapat,2.1,99.8333,79.59,86,100,2.37,ID,1723085072
178,bardai,11.65,7.2333,69.96,95,100,9.22,NG,1723084948
179,amga,60.8953,131.9608,68.81,42,1,3.6,RU,1723085074
180,saint-pierre,-21.3393,55.4781,64.08,63,0,3.44,RE,1723085075
181,remire-montjoly,4.9167,-52.2667,78.84,94,0,2.3,GF,1723085076
182,deqen,29.9618,90.7188,56.79,62,100,4.25,CN,1723085077
183,ulsteinvik,62.3432,5.8487,60.93,70,78,5.99,NO,1723085079
184,santa terezinha,-29.9002,-50.0904,60.22,97,100,4.99,BR,1723085080
185,juneau,58.3019,-134.4197,78.8,100,0,5.75,US,1723085081
186,talnakh,69.4865,88.3972,60.84,52,3,7.0,RU,1723085082
187,semnan,35.5729,53.3971,90.75,15,64,3.53,IR,1723085083
188,vernon,50.2581,-119.2691,84.56,26,17,0.0,CA,1723084884
189,sakata,38.9167,139.855,82.58,74,20,8.05,JP,1723085086
190,souillac,-20.5167,57.5167,71.98,73,40,4.61,MU,1723085087
191,poronaysk,49.2167,143.1167,60.85,98,100,5.39,RU,1723085088
192,at taj,24.2049,23.2857,82.54,20,8,10.92,LY,1723085089
193,iquique,-20.2208,-70.1431,60.84,81,18,4.88,CL,1723085090
194,trairi,-3.2778,-39.2689,77.27,83,38,11.12,BR,1723084887
195,stayton,44.8007,-122.7945,84.94,50,100,6.58,US,1723085093
196,auki,-8.7676,160.7034,80.47,86,100,5.5,SB,1723085094
197,yaren,-0.5472,166.916,83.44,72,65,8.43,NR,1723085095
198,tolanaro,-25.0319,46.9987,68.07,94,75,11.5,MG,1723085052
199,hopelchen,19.7667,-89.85,74.19,99,92,4.23,MX,1723085040
200,post,33.1909,-101.3782,92.97,21,84,9.17,US,1723085099
201,peace river,56.2501,-117.286,73.71,53,0,3.44,CA,1723084933
202,coquimbo,-29.9533,-71.3436,53.33,73,100,2.3,CL,1723085101
203,pingzhuang,42.0372,119.2889,83.61,51,7,4.83,CN,1723085102
204,longyearbyen,78.2186,15.6401,51.64,93,75,0.0,SJ,1723085103
205,cannonvale,-20.2833,148.7,76.59,72,44,16.37,AU,1723085104
206,shunyi,40.125,116.6453,87.75,62,0,2.24,CN,1723085106
207,zhoushan,30.0108,122.2047,85.44,73,6,11.9,CN,1723085107
208,kone,-21.0595,164.8658,75.11,54,90,8.68,NC,1723085108
209,medicine hat,50.0501,-110.6683,64.83,56,75,5.99,CA,1723085109
210,shetpe,44.1667,52.1167,80.31,49,10,21.09,KZ,1723085110
211,bel ombre,-4.6167,55.4167,78.64,89,20,12.66,SC,1723085111
212,yuzhno-kurilsk,44.0306,145.8556,64.8,99,100,3.69,RU,1723085113
213,anadyr,64.75,177.4833,48.7,76,40,8.95,RU,1723085114
214,portovelo,-3.7167,-79.6167,70.11,92,90,0.76,EC,1723085115
215,batticaloa,7.7102,81.6924,83.79,71,57,1.3,LK,1723085116
216,colonia,50.9333,6.95,64.81,86,0,4.61,DE,1723085090
217,rawson,-43.3002,-65.1023,38.82,67,0,0.96,AR,1723085118
218,ushuaia,-54.8,-68.3,33.46,80,40,2.3,AR,1723085120
219,porto novo,6.4965,2.6036,76.82,85,100,7.47,BJ,1723085121
220,nar'yan-mar,67.6713,53.087,49.39,69,0,5.17,RU,1723084925
221,aripuana,-9.1667,-60.6333,73.42,48,3,1.57,BR,1723085123
222,qaqortoq,60.7167,-46.0333,44.74,93,100,5.12,GL,1723085053
223,sitka,57.0531,-135.33,62.49,82,20,3.44,US,1723085125
224,hamilton,39.1834,-84.5333,76.05,79,0,8.05,US,1723085127
225,boca do acre,-8.7522,-67.3978,78.37,64,66,2.28,BR,1723085128
226,saipan,15.1355,145.701,90.3,70,40,8.05,MP,1723085129
227,boguchany,58.3814,97.4531,64.08,92,99,5.14,RU,1723085130
228,vila velha,-20.3297,-40.2925,73.35,88,0,6.91,BR,1723085131
229,san antonio de pale,-1.4014,5.6325,72.77,82,100,12.55,GQ,1723085133
230,iskateley,67.6803,53.1512,49.33,69,0,5.14,RU,1723085134
231,el bauga,18.262,33.9081,80.46,71,69,7.7,SD,1723085135
232,dodge city,37.7528,-100.0171,89.26,57,3,11.01,US,1723085136
233,kapa'a,22.0752,-159.319,84.52,68,20,14.97,US,1723085137
234,el granada,37.5027,-122.4694,72.45,86,100,23.02,US,1723085138
235,westport,41.1415,-73.3579,66.85,87,100,6.91,US,1723084893
236,touros,-5.1989,-35.4608,73.76,85,9,10.63,BR,1723085142
237,mushie,-3.0167,16.9,74.8,53,89,4.68,CD,1723085143
238,faridnagar,28.7667,77.6167,82.58,83,56,7.11,IN,1723085144
239,bridgewater,44.3835,-64.5155,60.12,92,0,3.44,CA,1723085145
240,brazzaville,-4.2658,15.2832,71.91,83,54,3.44,CG,1723085147
241,hermanus,-34.4187,19.2345,52.32,86,0,7.02,ZA,1723085148
242,torquay,50.4638,-3.5143,59.76,90,10,4.0,GB,1723085149
243,verkhnevilyuysk,63.4453,120.3167,68.74,42,6,3.58,RU,1723085151
244,victorica,-36.2151,-65.4359,38.61,93,100,19.44,AR,1723085152
245,vilyuysk,63.7553,121.6247,67.71,43,8,0.45,RU,1723085154
246,atafu village,-8.5421,-172.5159,82.92,69,2,19.98,TK,1723085155
247,natal,-5.795,-35.2094,72.25,88,20,4.61,BR,1723085156
248,ivdel',60.6911,60.4206,51.6,75,0,5.14,RU,1723085157
249,cidreira,-30.1811,-50.2056,60.3,96,100,5.88,BR,1723085158
250,olyokminsk,60.3736,120.4264,76.62,33,10,5.06,RU,1723085159
251,sisimiut,66.9395,-53.6735,41.81,89,26,13.96,GL,1723085161
252,roma,43.2128,-75.4557,65.88,87,0,0.0,US,1723085162
253,mapimi,25.8167,-103.85,84.4,31,5,2.51,MX,1723085163
254,vuktyl,63.8567,57.3094,55.8,61,2,3.0,RU,1723085164
255,mount gambier,-37.8333,140.7667,51.78,75,100,11.03,AU,1723085165
256,argo,37.6333,22.7333,77.79,59,0,3.27,GR,1723085167
257,vorkuta,67.5,64.0,52.14,60,32,3.53,RU,1723085168
258,ar rass,25.8694,43.4973,83.14,13,93,7.18,SA,1723085169
259,katsuren-haebaru,26.3369,127.8719,91.42,76,75,10.36,JP,1723085170
260,hasaki,35.7333,140.8333,90.28,75,38,7.56,JP,1723085171
261,motueka,-41.1333,173.0167,57.09,79,44,4.52,NZ,1723085172
262,nogliki,51.8333,143.1667,56.59,99,100,12.03,RU,1723085174
263,mumford,5.2618,-0.759,72.84,91,100,12.03,GH,1723085175
264,hadibu,12.65,54.0333,78.17,85,58,18.7,YE,1723084970
265,komsomol'skiy,43.9783,46.6985,71.94,76,95,10.49,RU,1723085177
266,saldanha,-33.0117,17.9442,53.65,87,100,10.67,ZA,1723085178
267,leo,11.1,-2.1,73.56,93,100,8.08,BF,1723085180
268,antofagasta,-23.65,-70.4,56.48,72,8,6.85,CL,1723085181
269,mariental,-24.6333,17.9667,61.14,13,1,12.03,NA,1723085182
270,hithadhoo,-0.6,73.0833,82.26,73,100,6.85,MV,1723085183
271,koungheul,13.9833,-14.8,75.87,96,100,6.29,SN,1723085184
272,chipiona,36.7366,-6.437,73.62,100,100,8.05,ES,1723085185
273,maragogi,-9.0122,-35.2225,75.49,71,82,7.27,BR,1723085187
274,langepas,61.2544,75.2124,55.85,63,100,9.8,RU,1723085188
275,fortuna,40.5982,-124.1573,58.93,85,23,1.99,US,1723085189
276,bad belzig,52.1333,12.6,67.48,96,63,7.65,DE,1723085190
277,candolim,15.5181,73.7626,79.97,80,100,4.9,IN,1723085191
278,san pedro pochutla,15.7333,-96.4667,83.91,85,100,4.74,MX,1723085170
279,kingston,17.997,-76.7936,85.15,74,20,9.22,JM,1723084970
280,aasiaat,68.7098,-52.8699,38.46,94,99,7.65,GL,1723085195
281,taoudenni,22.6783,-3.9836,99.97,9,0,19.46,ML,1723085196
282,el charco,2.4769,-78.1105,75.15,92,97,3.53,CO,1723085197
283,tongchuan,35.0806,109.0897,78.62,79,100,8.37,CN,1723085198
284,mossel bay,-34.1831,22.146,46.33,88,2,3.49,ZA,1723085199
285,nizhneangarsk,55.7833,109.55,57.31,76,79,3.31,RU,1723085201
286,ouani,-12.1322,44.4258,75.11,76,49,5.32,KM,1723085202
287,zeya,53.75,127.2667,73.81,64,95,6.93,RU,1723085203
288,sassnitz,54.5167,13.65,64.8,87,100,16.64,DE,1723085204
289,letterkenny,54.95,-7.7333,47.41,98,76,3.33,IE,1723084987
290,chissamba,-12.1667,17.3333,58.87,25,11,3.47,AO,1723085207
291,san-pedro,4.7485,-6.6363,73.47,82,100,7.29,CI,1723085208
292,zarinsk,53.7074,84.9493,67.46,88,100,11.3,RU,1723085209
293,nouadhibou,20.931,-17.0347,71.58,78,55,4.61,MR,1723085210
294,nacala,-14.5428,40.6728,64.78,96,11,5.86,MZ,1723085211
295,saudarkrokur,65.7461,-19.6394,45.34,92,100,3.22,IS,1723085213
296,wanning,18.8003,110.3967,88.92,60,62,10.38,CN,1723085214
297,plettenberg bay,-34.0527,23.3716,52.11,77,4,4.99,ZA,1723085215
298,bathsheba,13.2167,-59.5167,83.01,78,20,12.66,BB,1723085216
299,ljusdal,61.8288,16.0913,58.01,98,100,3.06,SE,1723085217
300,loen,7.7601,168.2307,80.04,75,89,1.21,MH,1723085218
301,alice springs,-23.7,133.8833,76.55,27,0,5.75,AU,1723085220
302,weno,7.4515,151.8468,91.35,62,75,11.5,FM,1723085115
303,preveza,38.95,20.75,77.97,91,0,1.99,GR,1723085055
304,raahe,64.6833,24.4833,48.29,66,0,8.81,FI,1723085223
305,beira,-19.8436,34.8389,66.29,93,20,2.3,MZ,1723085224
306,akjoujt,19.6969,-14.4164,81.54,53,100,9.22,MR,1723085226
307,gokarna,14.55,74.3167,78.64,84,100,1.3,IN,1723085228
308,mili,6.0815,171.735,81.64,71,100,2.15,MH,1723085229
309,port-saint-louis-du-rhone,43.3833,4.8,75.43,73,0,2.3,FR,1723085230
310,ulanhot,46.0833,122.0833,83.5,45,41,7.94,CN,1723085231
311,lerwick,60.1545,-1.1494,55.4,88,94,29.08,GB,1723085233
312,nookat,40.2671,72.6207,77.76,23,0,2.37,KG,1723085234
313,bata,1.8639,9.7658,75.4,87,86,7.45,GQ,1723085235
314,kamuli,0.9472,33.1197,63.36,88,43,1.72,UG,1723085236
315,kourou,5.1552,-52.6478,78.85,92,42,6.89,GF,1723085237
316,corner brook,48.9667,-57.9484,59.16,90,17,6.29,CA,1723085238
317,taulaga,-11.0553,-171.0883,81.36,74,81,20.29,AS,1723085240
318,kurumkan,54.3,110.3,74.34,53,50,2.68,RU,1723085241
319,santa cruz,-17.8,-63.1667,72.86,94,75,4.61,BO,1723084974
320,talitsa,56.8804,60.0213,54.14,93,85,7.52,RU,1723084957
321,dharamsala,32.2419,76.3213,67.37,92,86,2.86,IN,1723085244
322,arraial do cabo,-22.9661,-42.0278,72.09,84,0,24.05,BR,1723085246
323,bugana,7.9992,7.5836,71.31,96,22,2.98,NG,1723085247
324,vila franca do campo,37.7167,-25.4333,73.81,88,42,6.55,PT,1723085248
325,nova sintra,14.8667,-24.7167,76.96,84,42,18.34,CV,1723085249
326,fisterra,42.9049,-9.2629,66.02,82,10,19.57,ES,1723085250
327,campanario,38.8644,-5.6174,75.24,30,2,3.18,ES,1723085251
328,cumbum,9.7333,77.3,75.47,86,99,6.6,IN,1723085253
329,la'ie,21.6477,-157.9253,87.76,72,3,10.0,US,1723085043
330,kidal,18.4411,1.4078,84.72,59,94,15.3,ML,1723085256
331,toliara,-23.35,43.6667,67.08,69,0,3.8,MG,1723085163
332,freetown,8.484,-13.2299,78.51,83,75,14.97,SL,1723085051
333,fort bragg,35.139,-79.006,76.82,96,75,18.41,US,1723085260
334,beau vallon,-20.4189,57.6953,66.22,66,51,9.71,MU,1723085261
335,taguatinga,-12.3857,-46.5711,69.04,33,0,4.34,BR,1723085262
336,antalaha,-14.9003,50.2788,69.82,66,92,6.51,MG,1723085263
337,tokombere,11.2271,13.4858,71.71,94,97,7.09,NG,1723085264
338,yulinshi,38.2906,109.7494,75.9,69,95,13.24,CN,1723085265
339,along,28.1667,94.7667,71.47,98,100,1.19,IN,1723085267
340,nanakuli,21.3906,-158.1547,87.75,54,0,11.5,US,1723085268
341,egilsstadir,65.2653,-14.3948,44.51,93,100,5.75,IS,1723085269
342,lautoka,-17.6167,177.4667,78.66,53,40,13.8,FJ,1723085271
343,chemolgan,43.1897,76.5292,73.06,22,2,3.44,KZ,1723085273
344,pacific grove,36.6177,-121.9166,65.71,89,75,6.91,US,1723085155
345,guerrero negro,27.9769,-114.0611,73.42,75,0,13.62,MX,1723085275
346,sultanah,24.4926,39.5857,91.85,29,0,4.61,SA,1723085276
347,chulym,55.0997,80.9572,67.19,85,13,6.58,RU,1723085277
348,tataouine,32.9297,10.4518,72.12,74,0,4.12,TN,1723085278
349,okhotsk,59.3833,143.3,65.03,67,13,4.63,RU,1723085280
350,vriezenveen,52.4083,6.6222,62.44,60,100,6.62,NL,1723085281
351,horta,38.5333,-28.6333,72.01,80,0,5.99,PT,1723085283
352,walvis bay,-22.9575,14.5053,53.1,93,4,3.44,NA,1723085284
353,salahonda,2.1019,-78.7217,78.85,78,99,8.84,CO,1723085286
354,alenquer,-1.9417,-54.7383,77.86,67,0,2.93,BR,1723085140
355,ketchikan,55.3422,-131.6461,73.87,49,0,5.75,US,1723085288
356,fernandina beach,30.6697,-81.4626,77.04,86,100,6.91,US,1723085289
357,choibalsan,48.0667,114.5,75.96,50,100,5.44,MN,1723085290
358,salalah,17.0151,54.0924,75.29,100,100,8.05,OM,1723085291
359,dhidhdhoo,6.8833,73.1,82.69,75,31,16.06,MV,1723085293
360,caleta de carquin,-11.0925,-77.6267,61.77,87,41,7.99,PE,1723085294
361,viqueque,-8.8673,126.3658,82.49,60,100,9.69,TL,1723085295
362,adam,22.3756,57.5233,83.32,62,16,9.91,OM,1723085296
363,gadzhiyevo,69.2551,33.3362,56.12,62,62,8.61,RU,1723085297
364,kingscliff,-28.2667,153.5667,66.94,68,100,9.22,AU,1723085300
365,vangaindrano,-23.35,47.6,67.95,87,92,2.77,MG,1723085167
